# Xcode 27.0 Info.plist structure definitions: D class kind array-element; K parent key label class
D	_root_	Dictionary	
K	UISceneConfigurationsDictionary	UIWindowSceneSessionRoleAssistiveAccessApplication	Assistive Access Window Application Session Role	UISceneConfigurationArray
K	UISceneConfigurationsDictionary	UISceneSessionRoleImmersiveSpaceApplication	Immersive Space Application Session Role	UISceneConfigurationArray
K	UISceneConfigurationsDictionary	CPSceneSessionRoleImmersiveSpaceApplication	Compositor Services Immersive Space Application Session Role	UISceneConfigurationArray
D	UISceneConfigurationArray	Array	UISceneConfigurationDictionary
D	UISceneConfigurationDictionary	Dictionary	
K	UISceneConfigurationDictionary	UISceneClassName	Class Name	String
K	UISceneConfigurationDictionary	UISceneDelegateClassName	Delegate Class Name	String
K	UISceneConfigurationDictionary	UISceneConfigurationName	Configuration Name	String
K	UISceneConfigurationDictionary	UISceneStoryboardFile	Storyboard Name	String
K	UISceneConfigurationDictionary	UISceneInitialImmersionStyle	Initial Immersion Style	UISceneInitialImmersionStyleStrings
D	UIApplicationPreferredDefaultSceneSessionRoleStrings	String	
D	UISceneInitialImmersionStyleStrings	String	
D	NSAppTransportSecurityDictionary	Dictionary	
K	NSAppTransportSecurityDictionary	NSAllowsArbitraryLoads	Allow Arbitrary Loads	Boolean
K	NSAppTransportSecurityDictionary	NSAllowsArbitraryLoadsUsageDescription	Allow Arbitrary Loads - Exception Usage	NSATSUsageDescription
K	NSAppTransportSecurityDictionary	NSAllowsArbitraryLoadsForMedia	Allows Arbitrary Loads for Media	Boolean
K	NSAppTransportSecurityDictionary	NSAllowsArbitraryLoadsForMediaUsageDescription	Allows Arbitrary Loads - Media Exception Usage	NSATSUsageDescription
K	NSAppTransportSecurityDictionary	NSAllowsArbitraryLoadsInWebContent	Allow Arbitrary Loads in Web Content	Boolean
K	NSAppTransportSecurityDictionary	NSAllowsArbitraryLoadsInWebContentUsageDescription	Allow Arbitrary Loads - Web Content Exception Usage	NSATSUsageDescription
K	NSAppTransportSecurityDictionary	NSAllowsLocalNetworking	Allows Local Networking	Boolean
K	NSAppTransportSecurityDictionary	NSAllowsLocalNetworkingUsageDescription	Allows Local Networking - Local Networking Exception Usage	NSATSUsageDescription
K	NSAppTransportSecurityDictionary	NSRequiresNIAPTLSPackageVersion	Requires NIAP TLS Package Version	String
K	NSAppTransportSecurityDictionary	NSExceptionDomains	Exception Domains	Dictionary
D	NSATSUsageDescription	Dictionary	
K	NSATSUsageDescription	NSATSExceptionUsage	Exception Usage	NSATSExceptionUsageDictionary
K	NSATSUsageDescription	NSATSExceptionServiceType	Exception Service Type	NSATSExceptionServiceTypeDictionary
K	NSATSUsageDescription	NSATSExceptionFirstPartyDeviceConnectionUsage	First Party Device Connection	NSATSExceptionUsageDictionary
K	NSATSUsageDescription	NSATSExceptionFirstPartyServiceConnectionUsage	First Party Service Connection	NSATSExceptionFirstPartyServiceConnectionUsageDictionary
K	NSATSUsageDescription	NSATSExceptionThirdPartyDeviceConnectionUsage	Third Party Device Connection	NSATSExceptionUsageDictionary
K	NSATSUsageDescription	NSATSExceptionThirdPartyServiceConnectionUsage	Third Party Service Connection	NSATSExceptionThirdPartyServiceConnectionUsageDictionary
